segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,x,y,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,order_list_of_workers,assigned_points
84,27622071,,trunk,13.2217362,101.224405379,13.225711879,101.226594892,741056.193534,1462727.54588,14837.9501521,20878.2761455,7448.92473027,61060.4651242,31064.551727,22808.240589,29394.6735805,28090.2228606,42362.4757546,30179.623415,3;1;2;6;8;7;10;5;9;4,3
93,27783834,,tertiary,13.0877966806,100.894685325,13.0839131838,100.897042358,705423.622214,1447614.18767,48787.0529468,23438.1200563,38439.8111938,38947.4910298,51842.0238278,58485.1613945,9408.69402289,28722.5118423,17822.4551304,68351.7988317,7;9;2;8;3;4;1;5;6;10,7
95,27783834,,tertiary,13.0800111445,100.899367437,13.0761007938,100.901677946,705937.895995,1446756.59001,48415.5034544,22874.6055406,38506.9959016,38019.8661023,52328.9937751,58593.6711339,9448.57611387,29354.2313231,16830.5720985,68112.3859867,7;9;2;8;4;3;1;5;6;10,7
97,32027518,พระตำหนัก,tertiary,12.9220931,100.8715585,12.9188273182,100.868484824,703050.191211,1429262.12278,56737.2167853,30613.9972304,52548.8911784,21873.5307463,69252.4351963,72582.5411189,25362.2279126,46925.8688085,9800.84331323,77754.1416359,9;4;7;2;8;3;1;5;6;10,9
98,32027518,พระตำหนัก,tertiary,12.9188273182,100.868484824,12.9166455641,100.866760088,702719.248674,1428898.36484,57197.0934029,31089.4060335,53040.4608559,21675.2743514,69720.5584655,73074.3008496,25830.8336578,47365.1524369,10204.6623303,78220.7600879,9;4;7;2;8;3;1;5;6;10,9
99,32027518,พระตำหนัก,tertiary,12.9166455641,100.866760088,12.9114445,100.8694028,702533.823975,1428655.61371,57472.7629071,31377.2915489,53345.433118,21533.068866,70018.3984406,73378.4315542,26129.0638071,47649.1868539,10444.0679246,78501.4718368,9;4;7;2;8;3;1;5;6;10,9
102,32027522,จอมเทียนสายหนึ่ง,tertiary,12.8682093089,100.891327226,12.8720035213,100.888826204,705239.588035,1423316.18165,57814.7900499,32583.1193546,55910.1363741,15550.5636985,73897.6061936,75673.2877071,30197.718232,52204.7535082,10892.9191265,78996.5555422,9;4;7;2;8;3;1;5;6;10,9
111,32872670,ถนนสุขุมวิท,trunk,12.8812607,100.8984347,12.8856916157,100.897674148,706000.454446,1424765.87545,56391.1451562,31035.808728,54286.4202083,16602.3098589,72271.9894887,74065.5873184,28596.4751424,50635.4419231,9321.60026498,77561.971122,9;4;7;2;8;3;1;5;6;10,9
117,32872670,ถนนสุขุมวิท,trunk,12.908234514,100.896120181,12.912743683,100.895820393,705727.172757,1427748.40982,55092.777347,29308.7337994,52041.9859293,19511.8300386,69592.9857305,71939.2104947,25813.5487122,47765.1705839,7773.06711175,76203.0852456,9;4;7;2;8;3;1;5;6;10,9
119,32872670,ถนนสุขุมวิท,trunk,12.9172022442,100.89627773,12.921556659,100.897504914,705736.931447,1428740.72954,54601.9405873,28699.3283869,51250.2264263,20455.6681104,68669.3845812,71179.6563859,24866.7144598,46792.4523474,7361.5041582,75685.1192611,9;4;7;2;8;3;1;5;6;10,9
126,32872670,ถนนสุขุมวิท,trunk,12.9476043451,100.90516567,12.9519486981,100.906432803,706676.509924,1432111.60642,52222.4019185,26026.131149,48033.3194006,23480.4123215,65194.4016547,68032.4434759,21372.0344239,43300.016216,6010.06763043,73201.4692679,9;7;4;2;8;3;1;5;6;10,9
129,32872670,ถนนสุขุมวิท,trunk,12.9606958538,100.908732085,12.9650969391,100.909775762,707052.710713,1433562.95696,51263.2298181,24962.9052056,46679.124901,24826.4907301,63709.9859845,66707.4311413,19877.1423639,41802.4356947,6016.51296462,72183.1253771,9;7;4;2;8;3;1;5;6;10,9
132,32872670,ถนนสุขุมวิท,trunk,12.9735293682,100.912781557,12.9771815763,100.91549516,707481.490362,1434986.16763,50293.2905011,23912.2402831,45320.6775354,26152.8990792,62231.7686972,65374.3378125,18392.0722614,40321.9952275,6326.12804448,71147.6731767,9;7;2;4;8;3;1;5;6;10,9
136,32872670,ถนนสุขุมวิท,trunk,12.9881022409,100.923679393,12.9921335249,100.925755544,708651.826752,1436607.43811,48587.4160251,22152.8236462,43329.9613431,27599.7153716,60284.9200477,63392.3377964,16485.0836773,38508.1378126,6622.83564985,69375.4846896,9;7;2;4;8;3;1;5;6;10,9
137,32872670,ถนนสุขุมวิท,trunk,12.9921335249,100.925755544,12.9961916727,100.92778274,708873.722112,1437055.17166,48214.399348,21766.9520174,42847.4171456,28021.3511007,59786.4067336,62915.0959306,15991.8042918,38028.1531345,6861.74899633,68979.3421348,9;7;2;4;8;3;1;5;6;10,9
142,32877130,,secondary,13.277407102,100.94541953,13.2770672417,100.949985703,710763.643683,1468635.46513,45043.9751291,29072.0204237,26510.7562772,59464.7689536,31587.9887192,43827.4063842,16526.7924029,7563.46281794,37367.0647822,60148.2942557,8;7;3;2;5;9;6;1;4;10,8
153,32877130,,secondary,13.2508767142,100.959339228,13.247331175,100.958129112,712295.250762,1465711.77409,42756.7784825,25835.8798983,25208.8041333,56536.4248311,32913.3661534,43426.5259753,13424.8469421,9364.46549009,34398.2202978,58620.6500972,8;7;3;2;5;9;1;6;4;10,8
154,32877130,,secondary,13.247331175,100.958129112,13.2431905746,100.959976342,712167.162059,1465318.4441,42783.2637464,25617.3765148,25391.9545737,56141.9396723,33307.0723968,43698.3047567,13046.3175635,9777.8094344,34006.425166,58760.2734487,8;7;3;2;5;9;1;6;4;10,8
167,35129327,พัทยาสายสอง,tertiary,12.9393752579,100.887206851,12.9437203953,100.88846612,704734.376658,1431186.68283,54373.4801385,28165.0944599,49991.5956362,23089.128677,66808.2255629,70026.1027848,22924.7232102,44636.0773083,7900.24852034,75349.3084568,9;7;4;2;8;3;1;5;6;10,9
